Run,Scene,Config,HashSize,ATE_RMSE
7,office0,C,19,0.0075345203173226745
7,office0,D,19,0.0072922312605932516
7,office1,A,19,0.004821972968137658
7,office1,B,19,0.005630898051229874
7,office1,C,19,0.006232737487257901
7,office1,D,19,0.009496731123176937
7,office2,A,19,0.0191150744329481
7,office2,B,19,0.018794426899952175
7,office2,C,19,0.018958719275379125
7,office2,D,19,0.0206274867725979
7,office3,A,19,0.012681027058960626
7,office3,B,19,0.012942153742047036
7,office3,C,19,0.01409384681298161
7,office3,D,19,0.013736813387502331
7,office4,A,19,0.0073786461381581785
7,office4,B,19,0.0073133797769116176
7,office4,C,19,0.008434758845864398
7,office4,D,19,0.008646199423122142
7,room0,A,19,0.006236737632311512
7,room0,B,19,0.005962296232348063
7,room0,C,19,0.007208165010409164
7,room0,D,19,0.00708047676722532
7,room1,A,19,0.010658339071898839
7,room1,B,19,0.007427522080308018
7,room1,C,19,0.011329143403850654
7,room1,D,19,0.011026799453544865
7,room2,A,19,0.010683709848264644
7,room2,B,19,0.009971108762202668
7,room2,C,19,0.011830546694737118
7,room2,D,19,0.011502586765728653
8,office0,A,19,0.005563553494665911
8,office0,B,19,0.0056153829342629686
8,office0,C,19,0.00720983584536819
8,office0,D,19,0.006800138574381826
8,office1,A,19,0.008234570612918593
8,office1,B,19,0.0049977202662223885
8,office1,C,19,0.006587120675672849
8,office1,D,19,0.007969898068144493
8,office2,A,19,0.017834118418895564
8,office2,B,19,0.01925927175555078
8,office2,C,19,0.020147469686839333
8,office2,D,19,0.02207417192341911
8,office3,A,19,0.012723351363827943
8,office3,B,19,0.013261397212693265
8,office3,C,19,0.01456179248627408
8,office3,D,19,0.013305390822821395
8,office4,A,19,0.00750818429477192
8,office4,B,19,0.008043342338744645
8,office4,C,19,0.008394550852118448
8,office4,D,19,0.008578130514470877
8,room0,A,19,0.007152996214928489
8,room0,B,19,0.005842682990042392
8,room0,C,19,0.006760276844217784
8,room0,D,19,0.0064949345308360305
8,room1,A,19,0.006892320625723955
